Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
7,ALL,Rahul Tewatia,GT,PLAYING,4
7.5,ALL,Shahrukh Khan,GT,PLAYING,5
7,ALL,Washington Sundar,GT,PLAYING,7
6,ALL,Karim Janat,GT,NOT_PLAYING,0
7,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
7,ALL,Kamindu Mendis,SRH,PLAYING,7
8.5,ALL,Abhishek Sharma,SRH,PLAYING,2
5.5,ALL,Manav Suthar,GT,NOT_PLAYING,0
8,ALL,K Nitish Reddy,SRH,PLAYING,4
6,ALL,Arshad Khan,GT,X_FACTOR_SUBSTITUTE,16
5.5,ALL,Nishant Sindhu,GT,NOT_PLAYING,0
9,WK,Jos Buttler,GT,PLAYING,3
9,WK,Heinrich Klaasen,SRH,PLAYING,5
8,WK,Ishan Kishan,SRH,PLAYING,3
6.5,WK,Anuj Rawat,GT,X_FACTOR_SUBSTITUTE,14
5.5,WK,Kumar Kushagra,GT,NOT_PLAYING,0
9,BAT,Travis Head,SRH,PLAYING,1
5.5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,13
7.5,BAT,Glenn Phillips,GT,X_FACTOR_SUBSTITUTE,13
6.5,BAT,Mahipal Lomror,GT,X_FACTOR_SUBSTITUTE,15
9,BAT,Shubman Gill,GT,PLAYING,1
6,BAT,Atharva Taide,SRH,NOT_PLAYING,0
8,BAT,Sherfane Rutherford,GT,X_FACTOR_SUBSTITUTE,12
6,BAT,Abhinav Manohar,SRH,X_FACTOR_SUBSTITUTE,12
8.5,BAT,Sai Sudharsan,GT,PLAYING,2
6.5,BAT,Aniket Verma,SRH,PLAYING,6
7,BOWL,Ishant Sharma,GT,PLAYING,11
7,BOWL,Jaydev Unadkat,SRH,PLAYING,10
8.5,BOWL,Mohammed Shami,SRH,PLAYING,11
8,BOWL,Pat Cummins,SRH,PLAYING,8
8,BOWL,Harshal Patel,SRH,NOT_PLAYING,0
7.5,BOWL,Adam Zampa,SRH,NOT_PLAYING,0
8,BOWL,Kagiso Rabada,GT,NOT_PLAYING,0
6.5,BOWL,Jayant Yadav,GT,NOT_PLAYING,0
7.5,BOWL,Prasidh Krishna,GT,PLAYING,10
8.5,BOWL,Rashid-Khan,GT,PLAYING,6
8,BOWL,Mohammed Siraj,GT,PLAYING,9
6,BOWL,Zeeshan Ansari,SRH,PLAYING,9
7.5,BOWL,Ravisrinivasan Sai Kishore,GT,PLAYING,8
6.5,BOWL,Rahul Chahar,SRH,X_FACTOR_SUBSTITUTE,15
6,BOWL,Kulwant Khejroliya,GT,NOT_PLAYING,0
6.5,BOWL,Simarjeet- Singh,SRH,X_FACTOR_SUBSTITUTE,14
7,BOWL,Gerald Coetzee,GT,NOT_PLAYING,0
5.5,BOWL,Gurnoor Brar Singh,GT,NOT_PLAYING,0
6,BOWL,Eshan Malinga,SRH,NOT_PLAYING,0
