team_name,total_matches,wins,win_percentage,toss_wins,toss_win_percentage
RAJASTHAN ROYALS,192,96,50.0,99,51.5625
ROYAL CHALLENGERS BANGALORE,226,109,48.23008849557522,105,46.46017699115044
SUNRISERS HYDERABAD,152,75,49.34210526315789,74,48.68421052631579
DC,224,103,45.982142857142854,116,51.78571428571429
CSK,208,121,58.17307692307693,109,52.40384615384615
GUJARAT TITANS,16,12,75.0,10,62.5
LUCKNOW SUPER GIANTS,15,9,60.0,7,46.666666666666664
KOLKATA KNIGHT RIDERS,223,114,51.12107623318386,114,51.12107623318386
PBKS,218,101,46.330275229357795,94,43.11926605504588
MUMBAI INDIANS,231,131,56.709956709956714,123,53.246753246753244
RPS,30,15,50.0,13,43.333333333333336
GL,30,13,43.333333333333336,15,50.0
PWI,46,12,26.08695652173913,20,43.47826086956522
DEC,75,29,38.666666666666664,43,57.333333333333336
KTK,14,6,42.857142857142854,8,57.14285714285714
